,Unnamed: 0,company_name,ceo,founded,size,revenue,industry
75,11,"Home Innovation Research Labs, Inc.",-1,-1,-1,-1,-1
76,12,Onward Energy,-1,-1,-1,-1,-1
77,13,"Brooks Sports, Inc",Jim Weber,1914,201 to 500,$100M to $500M (USD),Retail & Wholesale
78,14,Loanpal,Hayes Barnard,2014,"501 to 1,000",-1,Financial Services
79,15,"Shenandoah Valley Organic, LLC",-1,-1,-1,-1,-1
80,16,1502 Candle Co.,-1,-1,-1,-1,Consumer Product Manufacturing
81,17,ima Design,-1,-1,-1,-1,-1
82,18,SCS Global Services,-1,1984,51 to 200,-1,-1
83,19,Smith Seckman Reid,-1,1968,"501 to 1,000",$25M to $100M (USD),-1
84,20,Insulet Corporation,Shacey Petrovic,2000,"501 to 1,000",$100M to $500M (USD),Pharmaceutical & Biotechnology
85,21,Rivian Automotive,-1,2009,-1,-1,Vehicle Manufacturing
86,22,UCLA,-1,1919,"1001 to 5,000",$500M to $1B (USD),Education
87,23,Converse,Davide Grasso,1908,201 to 500,$100M to $500M (USD),Retail & Wholesale
88,24,"City of Naples, FL",-1,-1,-1,-1,-1
89,25,Neiman Marcus,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
90,26,Vox Global,-1,-1,51 to 200,-1,Advertising & Public Relations
91,27,Benson Hill,-1,-1,-1,-1,-1
92,28,Concurrent Technologies Corporation,-1,1987,"501 to 1,000",$100M to $500M (USD),Aerospace & Defense
93,29,Burns & McDonnell,-1,1898,"5,001 to 10,000",$1B to $5B (USD),Construction & Facilities Services
94,30,Danone,-1,1919,"more than 10,000",more than $10B (USD),Manufacturing
95,31,ENGIE North America Inc.,Catherine MacGregor,1995,"more than 10,000",more than $10B (USD),"Energy, Mining & Utilities"
96,32,Rezilyens LLC,-1,-1,-1,-1,Information Technology
97,33,GSD&M,-1,-1,"501 to 1,000",$25M to $100M (USD),Media & Communication
98,34,FMC Corporation,-1,1883,"1001 to 5,000",$1B to $5B (USD),"Energy, Mining & Utilities and manufacturing"
99,35,"Global Facility Solutions, LLC",-1,-1,11 to 50,$1M to $5M (USD),-1
100,36,The Coffee Bean & Tea Leaf,-1,1963,"1001 to 5,000",$100M to $500M (USD),Restaurants & Food Service
101,37,Cooper Carry,-1,-1,-1,-1,-1
102,38,US Surface Transportation Board,-1,-1,-1,-1,-1
103,39,ERM Group,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
104,40,RE Tech Advisors,-1,-1,11 to 50,-1,-1
105,41,World Learning,-1,1932,201 to 500,$100M to $500M (USD),Nonprofit & NGO
106,42,"Land O’Lakes, Inc.",-1,-1,-1,-1,-1
107,43,Strategic Energy Innovations,-1,-1,11 to 50,$1M to $5M (USD),Nonprofit & NGO
108,44,ORAU,-1,-1,"501 to 1,000",-1,Nonprofit & NGO
109,45,Virgin Hyperloop,-1,-1,-1,-1,-1
110,46,New Seasons Market,Forrest Hoffmaster,1999,"1001 to 5,000",$100M to $500M (USD),Retail & Wholesale
111,47,Lion Electric,-1,-1,51 to 200,-1,Construction & Facilities Services
112,48,Beyond Meat,-1,2009,less than 10,$1M to $5M (USD),Catering & Food Service Contractors
113,49,SC Distributors,-1,-1,51 to 200,-1,-1
114,50,US Architect of the Capitol,-1,-1,-1,-1,-1
115,51,Microsoft,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
116,52,State of South Carolina,Henry McMaster,1788,"more than 10,000",-1,Government & Public Administration
117,53,Unity College,-1,-1,51 to 200,$5M to $25M (USD),Education
118,54,Common Ground Food Co-op,-1,-1,-1,-1,-1
119,55,Walmart,Doug McMillon,1962,"more than 10,000",more than $10B (USD),Retail & Wholesale
120,56,The Trium Group,-1,-1,11 to 50,$1M to $5M (USD),-1
121,0,Microsoft,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
122,1,Michigan Technological University,-1,1885,"1001 to 5,000",$100M to $500M (USD),Education
123,2,Purdue University,-1,1869,"more than 10,000",$1B to $5B (USD),Education
124,3,"Eastern Research Group, Inc.",-1,-1,-1,-1,-1
125,4,Nu Skin,-1,-1,-1,-1,Retail & Wholesale
126,5,BuroHappold Engineering,Neil Squibbs,1976,"1001 to 5,000",$100M to $500M (USD),Construction & Facilities Services
127,6,Apple,Tim Cook,1976,"more than 10,000",more than $10B (USD),Manufacturing
128,7,"The Cadmus Group, Inc.",-1,-1,-1,-1,-1
129,8,Sound Agriculture,-1,-1,-1,-1,Crop Production
130,9,RPS Group,John Douglas,1970,"5,001 to 10,000",$500M to $1B (USD),Construction & Facilities Services
131,10,National Sustainable Agriculture Coalition,-1,-1,-1,-1,-1
132,11,University of MO-Columbia,-1,-1,-1,-1,-1
133,12,L'Oreal,Jean Paul Agon,1909,"more than 10,000",more than $10B (USD),Beauty & Wellness
134,13,AECOM,Michael S. Burke,2011,"more than 10,000",more than $10B (USD),Construction & Facilities Services
135,14,Goby Inc,-1,-1,-1,-1,-1
136,15,State of South Carolina,Henry McMaster,1788,"more than 10,000",-1,Government & Public Administration
